"Country","Budget Bal %GDP","CA Bal %GDP","CPI","Real GDP","IP","PMI","PPI","FX Reserve","Retail Sales","Unemployment","Total_Score"
"SINGAPORE",-4.44,16.64,0.2,-0.4,9.6,NA,NA,370073.8,-7.6,3.2,0.551579036978078
"CANADA",-1.69,-2.02,1,-3.021,-2.42,NA,4.3,75673,0.8,9.2,0.517625342175734
"NORWAY",-4.84,1.1,2.5,-1.9,4.5,54.04,0.6,74257.7,8.9,5.1,0.50682974747489
"AUSTRALIA",-12.25,1.78,0.9,-0.3,2,NA,2.5,31088,10.5,6.3,0.494712678148303
"EUROZONE",-6.99,1.67,0.9,-3.7,1.2,NA,2.2,340782,-5.4,8.3,0.472560484061568
"SWITZERLAND",-3.06,0.49,-0.5,-1.2,-2.3,60.1,-1.16,896790.83,-1,3.3,0.471773494389256
"UNITED STATES",-15.2,-2.73,1.4,-0.9,-2.49,NA,1,90.702,8.6,11.2,0.464494604497956
"NEW ZEALAND",-7.28,-1,1.4,2.2,NA,NA,0.08,11686,1.769,4.9,0.451241513884671
"GERMANY",-4.4,6.79,1.1,-2.1,-4,NA,0.9,37852,-6.2,6,0.439417850866077
"HONG KONG",-8.57,6.99,2.6,-3.5,-6.1,NA,2.9,493.2,-13.7,7,0.426126821312328
"JAPAN",-9.02,2.96,-0.7,-0.4,-5.2,NA,-5.5,1310208,-2.4,3,0.351737067498496
"BRITAIN",-12.96,-2.93,0.7,-7.6,0.6,NA,-1.3,133428,-5.1,5.2,0.267080822169104
