"Country","Budget Bal %GDP","CA Bal %GDP","CPI","Real GDP","IP","PMI","PPI","FX Reserve","Retail Sales","Unemployment","Total_Score"
"NORWAY",8.86,29.34,7.5,3.2,0.2,52.45,19.8,70638.5,-6,3.1,0.52650094877894
"SWITZERLAND",-0.31,8.22,3,1.8,6,55.4,3.45,816883.14,-2.4,2,0.486721935836989
"UNITED STATES",-5.24,-3.76,7.7,2.3,3.08,NA,0.3,67.838,8.1,6.7,0.463227962080482
"EUROZONE",-3.05,0.15,10.6,2.9,3.3,46.4,-2,325199,-2.6,6.7,0.461816943102277
"SINGAPORE",-0.82,18.41,6.8,4.5,-0.6,NA,NA,282284.4,7.5,2.1,0.437178220092009
"CANADA",-12.32,0.03,6.9,4.248,1.82,NA,9.86,77353,6.1,5.1,0.419496024141635
"AUSTRALIA",-3.98,0.3,7.3,6.1,-1.3,NA,2.5,36113,12.5,3.4,0.414895139842411
"GERMANY",-3.2,4.4,8.8,1.7,-0.7,45.1,31.7,36800,-5.1,5.5,0.408669599394312
"JAPAN",-6.15,2.33,3.7,1.3,3.1,NA,-5.5,1078348,4.4,2.6,0.402261446525317
"NEW ZEALAND",-3.47,-8.5,7.2,8.1,NA,NA,8.38,6716,1.82,3.3,0.380955727149225
"BRITAIN",-3.6,-2.31,11.1,3.1,-2.4,NA,-1.3,101927,-6.5,3.8,0.318879069211627
"HONG KONG",-5.55,11.38,1.8,-4.9,-0.6,49.3,0.4,417.2,4,3.8,0.256160030652414
