"Country","Budget Bal %GDP","CA Bal %GDP","CPI","Real GDP","IP","PMI","PPI","FX Reserve","Retail Sales","Unemployment","Total_Score"
"UNITED STATES",-6.24,-3.79,2.4,2.8,-0.69,47.3,0.3,210.32,2,7.7,0.149842999630587
"HONG KONG",-6.09,11.99,2.2,1.9,-0.1,NA,3.2,422.8,-6.9,3,0.127763555969281
"NEW ZEALAND",-3.21,-5.2,2.2,-1.5,NA,NA,4.18,17316,-1.707,4.9,0.12526025188786
"SINGAPORE",0.23,17.43,1.9,5.7,9.2,NA,NA,389812.2,0.3,1.9,0.125011239393187
"NORWAY",16.49,17.32,3,3.3,-0.5,NA,-2.9,80335.2,-0.3,4,0.111199086527231
"AUSTRALIA",-2.1,-1.43,2.8,0.8,0.3,NA,2.5,39957,2.4,4,0.111183601899609
"CANADA",-1.18,-0.36,1.6,1.948,1.2,NA,-1.1,99088,1.4,6.6,0.111133030759654
"JAPAN",-2.26,4.66,2.5,0.8,-3.2,NA,-5.5,1097895,0.7,2.4,0.111115574174932
"SWITZERLAND",0.2,7.17,0.8,1.7,2.8,NA,-0.19,715698.88,1.7,2.5,0.111113936631371
"GERMANY",-2.5,6.4,2.4,-0.6,-4.3,40.6,-1.4,37613,4.6,6,0.100238985785795
"BRITAIN",-4.9,-2.55,1.7,1.4,-1.3,51.5,-1.3,106799,1.7,4.3,0.100088620359369
"EUROZONE",-3.25,2.79,1.7,1,-2.3,45,-0.6,303818,3.3,6.3,0.100027381231563
