"Country","Budget Bal %GDP","CA Bal %GDP","CPI","Real GDP","IP","PMI","PPI","FX Reserve","Retail Sales","Unemployment","Total_Score"
"HONG KONG",-4.78,8.47,2,4.2,4.3,49.6,3,415.7,13,2.8,0.565308457726158
"UNITED STATES",-6.06,-3.25,3.7,3.2,-0.22,49.8,0.3,22.348,4.2,7,0.53840545653294
"SINGAPORE",-1.52,17.57,4.1,1.9,-1.2,NA,NA,337397.3,0,2,0.479775274923596
"AUSTRALIA",-1.14,-0.05,5.4,2.1,-1,NA,2.5,35744,1.9,3.6,0.465488241851498
"JAPAN",-4.21,3.17,3,0.9,-4.5,NA,-5.5,1109903,6.2,2.6,0.462912639777707
"CANADA",-3.15,-0.95,3.8,0.891,-1.52,NA,0.55,84626,2.7,5.5,0.445333187344482
"EUROZONE",-3.68,1.09,4.3,0.1,-5.6,43.4,0.6,285245,-3.3,6.6,0.426995855401727
"BRITAIN",-5.35,-2.38,6.7,0.1,-0.8,44.3,-1.3,103971,-1.7,4.1,0.425625540577762
"SWITZERLAND",1.27,5.99,1.7,0.3,1.9,44.2,0.87,678287,-2.8,2,0.404415445696309
"NEW ZEALAND",-2.7,-7.1,5.6,0.4,NA,NA,2.14,13708,-1.707,3.9,0.394509901929838
"NORWAY",25.54,19.05,3.3,-3,-15.1,52.15,-29.4,70297.1,-2,3.5,0.379574343082232
"GERMANY",-1.9,5.51,5.4,-0.9,-3.9,39.6,-9.1,35313,-3.9,5.7,0.362118980601861
